idx,date,odometr,diff,state,driverId
,2026-04-07T04:00:33.109Z,737991,,OH,20141
,2026-04-07T04:01:33.114Z,737992,1,OH,20141
,2026-04-07T04:02:36.105Z,737993,1,OH,20141
,2026-04-07T04:03:36.111Z,737994,1,OH,20141
,2026-04-07T04:05:39.116Z,737996,2,OH,20141
,2026-04-07T04:06:39.119Z,737997,1,OH,20141
,2026-04-07T04:07:42.110Z,737999,2,OH,20141
,2026-04-07T04:08:45.119Z,738000,1,OH,20141
,2026-04-07T04:09:48.110Z,738001,1,OH,20141
,2026-04-07T04:10:48.117Z,738002,1,OH,20141
,2026-04-07T04:11:51.116Z,738003,1,OH,20141
,2026-04-07T04:12:51.120Z,738004,1,OH,20141
,2026-04-07T04:13:54.113Z,738005,1,OH,20141
,2026-04-07T04:14:54.116Z,738006,1,OH,20141
,2026-04-07T04:15:57.122Z,738007,1,OH,20141
,2026-04-07T04:16:57.124Z,738008,1,OH,20141
,2026-04-07T04:18:00.122Z,738010,2,OH,20141
,2026-04-07T04:19:03.110Z,738011,1,OH,20141
,2026-04-07T04:20:03.118Z,738012,1,OH,20141
,2026-04-07T04:21:06.106Z,738013,1,OH,20141
,2026-04-07T04:23:12.102Z,738015,2,OH,20141
,2026-04-07T04:24:15.116Z,738016,1,OH,20141
,2026-04-07T04:25:18.110Z,738018,2,OH,20141
,2026-04-07T04:26:21.112Z,738019,1,OH,20141
,2026-04-07T04:27:21.116Z,738020,1,OH,20141
,2026-04-07T04:28:24.108Z,738021,1,OH,20141
,2026-04-07T04:29:24.112Z,738022,1,OH,20141
,2026-04-07T04:30:27.110Z,738023,1,OH,20141
,2026-04-07T04:31:30.105Z,738024,1,OH,20141
,2026-04-07T04:32:33.108Z,738025,1,OH,20141
,2026-04-07T04:33:33.114Z,738026,1,OH,20141
,2026-04-07T04:34:36.115Z,738027,1,OH,20141
,2026-04-07T04:35:39.103Z,738028,1,OH,20141
,2026-04-07T04:36:39.108Z,738029,1,OH,20141
,2026-04-07T04:37:42.112Z,738030,1,OH,20141
,2026-04-07T04:38:45.114Z,738031,1,OH,20141
,2026-04-07T04:39:48.112Z,738032,1,OH,20141
,2026-04-07T04:40:48.104Z,738033,1,OH,20141
,2026-04-07T04:45:00.108Z,738038,5,OH,20141
,2026-04-07T04:46:03.105Z,738039,1,OH,20141
,2026-04-07T04:47:03.112Z,738040,1,OH,20141
,2026-04-07T04:48:06.107Z,738041,1,OH,20141
,2026-04-07T04:49:06.112Z,738042,1,OH,20141
,2026-04-07T04:51:12.106Z,738044,2,OH,20141
,2026-04-07T04:52:15.103Z,738046,2,OH,20141
,2026-04-07T04:53:18.101Z,738047,1,OH,20141
,2026-04-07T04:54:21.107Z,738048,1,OH,20141
,2026-04-07T04:55:21.113Z,738049,1,OH,20141
,2026-04-07T04:56:24.105Z,738050,1,OH,20141
,2026-04-07T04:57:28.109Z,738050,0,OH,20141
,2026-04-07T04:58:29.110Z,738051,1,OH,20141
,2026-04-07T05:18:06.113Z,738051,0,OH,20141
,2026-04-07T05:19:07.111Z,738052,1,OH,20141
,2026-04-07T05:20:07.124Z,738053,1,OH,20141
,2026-04-07T05:21:10.116Z,738054,1,IN,20141
,2026-04-07T05:22:13.118Z,738055,1,IN,20141
,2026-04-07T05:23:16.113Z,738056,1,IN,20141
,2026-04-07T05:24:23.112Z,738057,1,IN,20141
,2026-04-07T05:25:24.112Z,738058,1,IN,20141
,2026-04-07T05:26:24.115Z,738059,1,IN,20141
,2026-04-07T05:27:27.115Z,738060,1,IN,20141
,2026-04-07T05:28:30.113Z,738061,1,IN,20141
,2026-04-07T05:29:33.129Z,738062,1,IN,20141
,2026-04-07T05:30:36.115Z,738063,1,IN,20141
,2026-04-07T05:31:39.118Z,738064,1,IN,20141
,2026-04-07T05:32:42.121Z,738065,1,IN,20141
,2026-04-07T05:34:48.111Z,738068,3,IN,20141
,2026-04-07T05:35:51.110Z,738069,1,IN,20141
,2026-04-07T05:36:54.113Z,738070,1,IN,20141
,2026-04-07T05:37:57.101Z,738071,1,IN,20141
,2026-04-07T05:38:57.114Z,738072,1,IN,20141
,2026-04-07T05:40:00.105Z,738073,1,IN,20141
,2026-04-07T05:41:03.111Z,738074,1,IN,20141
,2026-04-07T05:42:06.107Z,738075,1,IN,20141
,2026-04-07T05:43:06.123Z,738076,1,IN,20141
,2026-04-07T05:44:09.112Z,738078,2,IN,20141
,2026-04-07T05:45:12.106Z,738079,1,IN,20141
,2026-04-07T05:46:15.114Z,738080,1,IN,20141
,2026-04-07T05:47:18.115Z,738081,1,IN,20141
,2026-04-07T05:48:18.121Z,738082,1,IN,20141
,2026-04-07T05:49:21.119Z,738083,1,IN,20141
,2026-04-07T05:50:24.109Z,738084,1,IN,20141
,2026-04-07T05:51:24.114Z,738085,1,IN,20141
,2026-04-07T05:52:24.123Z,738087,2,IN,20141
,2026-04-07T05:53:27.119Z,738088,1,IN,20141
,2026-04-07T05:54:27.115Z,738089,1,IN,20141
,2026-04-07T05:55:30.118Z,738090,1,IN,20141
,2026-04-07T05:56:33.119Z,738091,1,IN,20141
,2026-04-07T05:57:36.120Z,738092,1,IN,20141
,2026-04-07T05:58:36.126Z,738093,1,IN,20141
,2026-04-07T05:59:39.108Z,738095,2,IN,20141
,2026-04-07T06:00:39.110Z,738096,1,IN,20141
,2026-04-07T06:01:42.111Z,738097,1,IN,20141
,2026-04-07T06:02:45.115Z,738098,1,IN,20141
,2026-04-07T06:03:45.117Z,738099,1,IN,20141
,2026-04-07T06:04:48.103Z,738100,1,IN,20141
,2026-04-07T06:06:24.744Z,738101,1,IN,20141
,2026-04-07T10:43:32.104Z,738102,1,IN,20141
,2026-04-07T10:44:32.111Z,738103,1,IN,20141
,2026-04-07T10:45:35.112Z,738104,1,IN,20141
,2026-04-07T10:46:38.107Z,738105,1,IN,20141
,2026-04-07T10:47:38.110Z,738106,1,IN,20141
,2026-04-07T10:48:41.110Z,738107,1,IN,20141
,2026-04-07T10:49:44.113Z,738108,1,IN,20141
,2026-04-07T10:50:47.108Z,738110,2,IN,20141
,2026-04-07T10:51:50.108Z,738111,1,IN,20141
,2026-04-07T10:52:50.112Z,738112,1,IN,20141
,2026-04-07T10:53:53.107Z,738113,1,IN,20141
,2026-04-07T10:54:53.113Z,738114,1,IN,20141
,2026-04-07T10:55:56.105Z,738115,1,IN,20141
,2026-04-07T10:56:56.111Z,738116,1,IN,20141
,2026-04-07T10:57:59.113Z,738118,2,IN,20141
,2026-04-07T10:59:02.108Z,738119,1,IN,20141
,2026-04-07T11:00:05.112Z,738120,1,IN,20141
,2026-04-07T11:01:05.121Z,738121,1,IN,20141
,2026-04-07T11:02:08.110Z,738122,1,IN,20141
,2026-04-07T11:03:08.115Z,738123,1,IN,20141
,2026-04-07T11:04:11.109Z,738124,1,IN,20141
,2026-04-07T11:06:14.116Z,738127,3,IN,20141
,2026-04-07T11:08:17.134Z,738129,2,IN,20141
,2026-04-07T11:09:20.115Z,738130,1,IN,20141
,2026-04-07T11:10:23.118Z,738131,1,IN,20141
,2026-04-07T11:11:26.122Z,738132,1,IN,20141
,2026-04-07T11:12:29.113Z,738133,1,IN,20141
,2026-04-07T11:13:32.118Z,738134,1,IN,20141
,2026-04-07T11:14:35.110Z,738136,2,IN,20141
,2026-04-07T11:15:38.112Z,738137,1,IN,20141
,2026-04-07T11:16:41.115Z,738138,1,IN,20141
,2026-04-07T11:17:44.115Z,738139,1,IN,20141
,2026-04-07T11:18:47.115Z,738140,1,IN,20141
,2026-04-07T11:19:50.113Z,738141,1,IN,20141
,2026-04-07T11:20:50.119Z,738142,1,IN,20141
,2026-04-07T11:21:53.111Z,738144,2,IN,20141
,2026-04-07T11:22:56.114Z,738145,1,IN,20141
,2026-04-07T11:23:56.116Z,738146,1,IN,20141
,2026-04-07T11:24:59.113Z,738147,1,IN,20141
,2026-04-07T11:26:02.111Z,738148,1,IN,20141
,2026-04-07T11:27:05.114Z,738149,1,IN,20141
,2026-04-07T11:28:08.116Z,738150,1,IN,20141
,2026-04-07T11:29:11.123Z,738152,2,IN,20141
,2026-04-07T11:30:14.118Z,738153,1,IN,20141
,2026-04-07T11:31:14.147Z,738154,1,IN,20141
,2026-04-07T11:32:17.132Z,738155,1,IN,20141
,2026-04-07T11:33:19.135Z,738156,1,IN,20141
,2026-04-07T11:34:20.120Z,738157,1,IN,20141
,2026-04-07T11:35:23.117Z,738158,1,IN,20141
,2026-04-07T11:36:26.122Z,738160,2,IN,20141
,2026-04-07T11:37:29.118Z,738161,1,IN,20141
,2026-04-07T11:38:29.126Z,738162,1,IN,20141
,2026-04-07T11:39:32.112Z,738163,1,IN,20141
,2026-04-07T11:40:32.116Z,738164,1,IN,20141
,2026-04-07T11:41:35.114Z,738165,1,IN,20141
,2026-04-07T11:42:38.124Z,738166,1,IN,20141
,2026-04-07T11:43:41.116Z,738168,2,IN,20141
,2026-04-07T11:44:44.119Z,738169,1,IN,20141
,2026-04-07T11:45:47.114Z,738170,1,IN,20141
,2026-04-07T11:46:47.116Z,738171,1,IN,20141
,2026-04-07T11:47:50.115Z,738172,1,IN,20141
,2026-04-07T11:48:53.116Z,738173,1,IN,20141
,2026-04-07T11:49:56.117Z,738174,1,IN,20141
,2026-04-07T11:50:59.117Z,738175,1,IN,20141
,2026-04-07T11:51:59.117Z,738176,1,IN,20141
,2026-04-07T11:53:02.113Z,738177,1,IN,20141
,2026-04-07T11:54:02.116Z,738178,1,IN,20141
,2026-04-07T11:55:05.121Z,738180,2,IN,20141
,2026-04-07T11:56:08.119Z,738181,1,IN,20141
,2026-04-07T11:57:08.116Z,738182,1,IN,20141
,2026-04-07T11:59:12.119Z,738184,2,IN,20141
,2026-04-07T12:00:14.135Z,738184,0,IN,20141
,2026-04-07T12:01:17.112Z,738185,1,IN,20141
,2026-04-07T12:02:20.111Z,738186,1,IN,20141
,2026-04-07T12:03:23.126Z,738187,1,IN,20141
,2026-04-07T12:04:26.111Z,738188,1,IN,20141
,2026-04-07T12:05:29.106Z,738189,1,IN,20141
,2026-04-07T12:06:29.111Z,738190,1,IN,20141
,2026-04-07T12:07:32.115Z,738191,1,IN,20141
,2026-04-07T12:08:35.111Z,738192,1,IN,20141
,2026-04-07T12:09:35.116Z,738193,1,IN,20141
,2026-04-07T12:10:38.113Z,738194,1,IN,20141
,2026-04-07T12:11:38.116Z,738195,1,IN,20141
,2026-04-07T12:12:41.106Z,738196,1,IN,20141
,2026-04-07T12:13:42.105Z,738196,0,IN,20141
,2026-04-07T12:50:33.108Z,738197,1,IN,20141
,2026-04-07T12:51:34.108Z,738198,1,IN,20141
,2026-04-07T12:52:53.685Z,738198,0,IN,20141
,2026-04-07T12:53:54.108Z,738198,0,IN,20141
,2026-04-07T12:54:59.110Z,738199,1,IN,20141
,2026-04-07T12:58:07.112Z,738199,0,IN,20141
,2026-04-07T12:59:37.136Z,738200,1,IN,20141
,2026-04-07T13:01:48.108Z,738200,0,IN,20141
,2026-04-07T13:03:50.109Z,738200,0,IN,20141
,2026-04-07T13:06:04.108Z,738201,1,IN,20141
,2026-04-07T13:07:09.106Z,738201,0,IN,20141
,2026-04-07T13:08:10.108Z,738201,0,IN,20141
,2026-04-07T13:09:12.108Z,738202,1,IN,20141
,2026-04-07T13:10:20.113Z,738202,0,IN,20141
,2026-04-07T13:11:21.118Z,738202,0,IN,20141
,2026-04-07T13:12:24.108Z,738202,0,IN,20141
,2026-04-07T13:14:48.111Z,738203,1,IN,20141
,2026-04-07T13:16:07.114Z,738203,0,IL,20141
,2026-04-07T13:18:09.140Z,738203,0,IL,20141
,2026-04-07T13:20:29.117Z,738204,1,IL,20141
,2026-04-07T13:23:43.115Z,738204,0,IL,20141
,2026-04-07T13:26:50.112Z,738204,0,IL,20141
,2026-04-07T13:28:58.109Z,738205,1,IL,20141
,2026-04-07T13:30:01.110Z,738206,1,IL,20141
,2026-04-07T13:31:04.108Z,738207,1,IL,20141
,2026-04-07T13:32:07.110Z,738208,1,IL,20141
,2026-04-07T13:33:10.110Z,738209,1,IL,20141
,2026-04-07T13:34:13.111Z,738210,1,IL,20141
,2026-04-07T13:35:16.111Z,738211,1,IL,20141
,2026-04-07T13:36:16.120Z,738212,1,IL,20141
,2026-04-07T13:37:19.113Z,738213,1,IL,20141
,2026-04-07T13:38:22.117Z,738214,1,IL,20141
,2026-04-07T13:39:24.115Z,738215,1,IL,20141
,2026-04-07T13:41:38.098Z,738215,0,IL,20141
,2026-04-07T13:43:40.108Z,738215,0,IL,20141
,2026-04-07T13:47:14.037Z,738215,0,IL,20141
,2026-04-07T13:48:18.102Z,738216,1,IL,20141
,2026-04-07T13:50:20.106Z,738216,0,IL,20141
,2026-04-07T13:53:28.106Z,738216,0,IL,20141
,2026-04-07T13:55:32.105Z,738216,0,IL,20141
,2026-04-07T13:57:41.106Z,738217,1,IL,20141
,2026-04-07T14:02:03.108Z,738217,0,IL,20141
,2026-04-07T14:05:13.110Z,738217,0,IL,20141
,2026-04-07T14:07:19.104Z,738217,0,IL,20141
,2026-04-07T14:11:35.106Z,738218,1,IL,20141
,2026-04-07T14:12:37.109Z,738218,0,IL,20141
,2026-04-07T14:13:40.107Z,738219,1,IL,20141
,2026-04-07T14:14:43.116Z,738220,1,IL,20141
,2026-04-07T14:15:46.122Z,738221,1,IL,20141
,2026-04-07T14:16:49.113Z,738222,1,IL,20141
,2026-04-07T14:17:52.119Z,738223,1,IL,20141
,2026-04-07T14:18:55.109Z,738224,1,IL,20141
,2026-04-07T14:19:58.108Z,738225,1,IL,20141
,2026-04-07T14:21:01.109Z,738226,1,IL,20141
,2026-04-07T14:22:04.111Z,738227,1,IL,20141
,2026-04-07T14:23:07.109Z,738229,2,IL,20141
,2026-04-07T14:24:10.118Z,738229,0,IL,20141
,2026-04-07T14:25:13.100Z,738230,1,IL,20141
,2026-04-07T14:26:16.110Z,738231,1,IL,20141
,2026-04-07T14:27:16.110Z,738232,1,IL,20141
,2026-04-07T14:28:19.111Z,738233,1,IL,20141
,2026-04-07T14:29:22.118Z,738233,0,IL,20141
,2026-04-07T14:30:25.109Z,738234,1,IL,20141
,2026-04-07T14:31:28.111Z,738235,1,IL,20141
,2026-04-07T14:32:31.112Z,738236,1,IL,20141
,2026-04-07T14:33:34.107Z,738237,1,IL,20141
,2026-04-07T14:34:34.111Z,738238,1,IL,20141
,2026-04-07T14:35:34.113Z,738239,1,IL,20141
,2026-04-07T14:36:37.112Z,738239,0,IL,20141
,2026-04-07T14:37:37.115Z,738240,1,IL,20141
,2026-04-07T14:38:40.113Z,738241,1,IL,20141
,2026-04-07T14:39:40.111Z,738242,1,IL,20141
,2026-04-07T14:40:43.112Z,738243,1,IL,20141
,2026-04-07T14:41:46.111Z,738244,1,IL,20141
,2026-04-07T14:42:49.110Z,738245,1,IL,20141
,2026-04-07T14:43:52.113Z,738246,1,IL,20141
,2026-04-07T14:44:55.111Z,738247,1,IL,20141
,2026-04-07T14:45:55.115Z,738248,1,IL,20141
,2026-04-07T14:46:55.120Z,738249,1,IL,20141
,2026-04-07T14:47:58.115Z,738250,1,IL,20141
,2026-04-07T14:49:01.119Z,738252,2,IL,20141
,2026-04-07T14:50:04.114Z,738253,1,IL,20141
,2026-04-07T14:51:07.116Z,738254,1,IL,20141
,2026-04-07T14:52:10.116Z,738255,1,IL,20141
,2026-04-07T14:53:13.112Z,738256,1,IL,20141
,2026-04-07T14:55:19.104Z,738258,2,IL,20141
,2026-04-07T14:56:22.108Z,738259,1,IL,20141
,2026-04-07T14:57:22.115Z,738260,1,IL,20141
,2026-04-07T14:58:25.120Z,738261,1,IL,20141
,2026-04-07T14:59:28.112Z,738263,2,IL,20141
,2026-04-07T15:00:31.120Z,738264,1,IL,20141
,2026-04-07T15:01:34.113Z,738265,1,IL,20141
,2026-04-07T15:03:40.114Z,738267,2,IL,20141
,2026-04-07T15:04:43.119Z,738268,1,IL,20141
,2026-04-07T15:05:46.107Z,738269,1,IL,20141
,2026-04-07T15:06:46.117Z,738270,1,IL,20141
,2026-04-07T15:07:49.117Z,738271,1,IL,20141
,2026-04-07T15:08:52.121Z,738273,2,IL,20141
,2026-04-07T15:09:55.110Z,738274,1,IL,20141
,2026-04-07T15:10:58.109Z,738275,1,IL,20141
,2026-04-07T15:12:01.109Z,738276,1,IL,20141
,2026-04-07T15:13:04.104Z,738277,1,IL,20141
,2026-04-07T15:14:04.110Z,738278,1,IL,20141
,2026-04-07T15:15:07.103Z,738279,1,IL,20141
,2026-04-07T15:16:10.105Z,738280,1,IL,20141
,2026-04-07T15:17:13.117Z,738282,2,IL,20141
